Date_of_Visit,District,Chiefdom,Section,Name_of_community,f_q1,f_q2,f_q3,f_q4,f_q5,f_q6
2015-01-09,Bo,Bagbwe,,Kondiama,,,,Government sholud train people at chiefdom level ( Bagbwe chiefdom),Community members accepted that Ebola is real and are keeping to the bye laws.,"No hosting of strangers, No washing of the dead bodies"
2015-01-07,Bo,Bagbwe,,Gbama,1.0,Because they burial team allowed them to offer prayer on their decease daughter and were shown the grave side.,,Pleading to government to train community members to do their own burial,"Community members are willing to visit the health center for check up, and freequently and regularly  washing their hands.",Frequent testing of the temperature and hand washing
2015-01-08,Bo,Bagbwe,,Benduma,1.0,The community members were allowed to offer prayers on the dead body and were at the grave side.,,The community members need burial team at community level,Community members are now willing to report their health conditions at the health center,No initiation of secrete societies.
2015-01-09,Bo,Bagbwe,,Niahun,,,,They want the Ebola outbreak to come to an end now,Children are not allowed to play at night or visit other people's compound,The community has monitors that are in charge for anyone that keep or smugle strangers
2015-01-07,Bo,Bagbwe,,Kpetema,,,,They are asking God Almighty to end the Ebola virus,Frequent checking of the temperature,Special rooms for strangers or visitors
2015-01-08,Bo,Bagbwe,,Pelewahun,1.0,Because the burial team gave respectful burial to their lost one,,Government sholud train society heads to be part of the burial team at chiefdom level ( Bagbwe chiefdom),Frequent hand washing with soap and water,A team set up to do room to room checking for any hiding strangers
2015-01-13,Bo,Bagbwe,,Mendewa,,,,Community members are obeying the bye laws and prating for the Ebola to come to an end,Community members set up a monitary team to check for strangers that are healthy or sick to evaquate their community,The formation of task force committee
2015-01-06,Bo,Bagbwe,,Kpakuma,1.0,Because the burial team allowed them to pray on the dead body when it was confirmed Ebola negative and they came to realised that the burial team are there to protect them form catching the Ebola virus.,,"Praying fervently to God to end the Ebola, keep the bye laws",Frequent hand washing with soap and chlorine,No touching or washing of the dead
2015-01-07,Bo,Bagbwe,,Vengema,1.0,Because the burial team allowed them to pray on the dead body when it was confirmed Ebola negative and they came to realised that the burial team are there to protect them form catching the Ebola virus.,,Birds and other animals have destroyed their plants as a result of Ebola,"No unecessary visit, everybody stays at his/her compound",Don't burried the dead call 117 for safe burial
2015-01-08,Bo,Bagbwe,,Barma,,,,The are appealing to government to try by all possible means to get vaccine for Ebola,Community members are willing to go to the health centre when they feel sick or experience any symptoms,Avoid eating bush meat
2015-01-09,Bo,Bagbwe,,Ngalu,1.0,Because the community members were allowed to offer prayers on the dead body,,Government should lift the state of emmergency so that people can go about their normal activities,The community members do refers all sick people now to the health center,Aviod body contact
2015-01-08,Bo,Bagbwe,,Ngalu New Town,1.0,Yes because it prevent them from catching the Ebola virus,,"The are appealing to government to try by all possible means to get vaccine for Ebola, and SMAC to provide the champions with mobile phones",The community members do refers all sick people now to the health center,Don't burried the dead call 117 for safe burial
2015-01-07,Bo,Bagbwe,,Gibina,1.0,Yes because it prevent them from catching the Ebola virus,,The are appealing to government to try by all possible means to get vaccine for ebola and Restless Developmet to provide champions with top up cards,The community members do refers all sick people now to the health center,Frequent hand washing 
2015-01-06,Bo,Bagbwe,,Blama,1.0,Because the burial team are train and qualified for the job,,We want our children to go back to school,The community members do refers all sick people now to the health center,Avoid body contact
2015-01-15,Bo,Bagbwe,,Palima,1.0,They feel atisfied with the new burial team,,They want the ebola to end so that things will go back normal,There has been frequent hand wasging,No strangers are allowed 
2015-01-16,Bo,Bagbwe,,Konjogiehun,1.0,They feel atisfied with the new burial team,,They want the ebola to end so that things will go back normal,Massive awareness about ebola,No strangers are allowed
2015-01-13,Bo,Bagbwe,,Kpetema,,,,There concer is what next after ebola,Frequent Hand washing,No body contact
2015-01-14,Bo,Bagbwe,,Konjondoma,,,,there concern is that hen vaccine will be avaible for ebola,Strangers are not allowed,Strangers are not allowed
2015-01-14,Bo,Bagbwe,,Yangabu,,,,They are sick and tired of Ebola because it has brought backwardness to the country even in the educational sector etc,Obeying all the bye laws to kick Ebola out of the country,No hand shaking or body contact
2015-01-16,Bo,Bagbwe,,Lowuma,,,,Community members are willing to obey the bye until Ebola is gone ,Frequent hand washing,Report all sicknesses to the medical team or health center
2015-01-15,Bo,Bagbwe,,Langulama,,,,The want this ebola to end now so that everything will go back normal,The bye laws is really helping to end ebola,No public Gathering
2015-01-15,Bo,Bagbwe,,Bangabu,,,,The government has really deprived their children from going to school,Th restiction of long time strangers,Don't touch or wash dead bodies
2015-01-16,Bo,Bagbwe,,Walihun,,,,The issue of teenage pregnancy is on the increase,Frequent and regular hand awshing,No public or social gathering
2015-01-13,Bo,Bagbwe,,Kpawula,,,,The government should supply chlorine to the community,Avalability of veronica bucket in the co  unity to do frequent hand washing,Dont hide sick people at home
2015-01-16,Bo,Bagbwe,,Kpetewoma,,,,The burial team did not respond on time,All sick people are now going to the health center and all  burial are conducted by the burial team,No bush meat eating
2015-01-13,Bo,Bagbwe,,Kpatou,,,,When schools will be reopen,The bye-laws are really active and effective in the community,No bush meat eating
2015-01-14,Bo,Bagbwe,,Foindo,,,,Their main concern is about the shortage of food,All sick people are now visiting the health center,Frequent hand washing
2015-01-13,Bo,Bagbwe,,Yawei,0.0,,the demand for money,When schools will be reopen,All sick people are now visiting the health center,No dead body washing
2015-01-15,Bo,Bagbwe,,Kpawula,,,,The shortage of food in the country and the restriction of people's movement,Strangers have been strongly rejceted,"No public gathering, no community burial."
2015-01-16,Bo,Bagbwe,,Bijia,,,,The government should train burial teams at chiefdom level because of the delay of the district  burial team ,A village hand washing center has been created,"Strangers are not allowed to stay in the community, one should not wash or touch dead bodies"
2015-01-14,Bo,Bagbwe,,Yengema,,,,To have a burial team at chiefdom level,All sick people are now visiting the health center,No secret Society
2015-01-15,Bo,Bagbwe,,Mokpendeh,,,,To have a burial team at chiefdom level,All sick people are now visiting the health center,No body contact
2015-01-06,Bo,Baoma,,Kponima,1.0,They were satisfied with the manner the burail team conducte the burial.,,The must observe all the Dos and DONâ€™T of Ebola.,They have clean the entire township .,No bike is allow in the community after six o clock.
2015-01-07,Bo,Baoma,,Jombohun,1.0,Because the it help to prevent.,,They should continue prayers in both mosque and church for Ebola.,Weekly cleanig in the community  and people visiting the health center.,No eating of bush meat
2015-01-08,Bo,Baoma,,Gbahun,1.0,It prevent them for the ebola virus.,,Schools should now reopens for their childern .,Cleaning the town and stream were the use to take their bath.,Regular hand washing by members of the community.
2015-01-09,Bo,Baoma,,Gbahama,1.0,It protcet the speard of the virus.,,They need top up card to commumicate issuse realated to Ebola.,Strict observation of the strangers and community cleaning.,No body is allowed touch the dead.
2015-01-09,Bo,Baoma,,Foindu,1.0,This can help to stop the spread .,,When will sierra leone declere Ebola free.,They now aspect that Ebola is real and they are really to fright it.,Don't allow strangers to enter the community.
2015-01-08,Bo,Baoma,,Niama,0.0,,They are not happy  because the burial team don't wash their dead.   ,The government should open schools now.,People are now frequent in the hospital and they always go for check-up.,Don't touch sick person and don't wash dead body.
2015-01-06,Bo,Baoma,,Baoma Station,1.0,Because family memers were allowed to pray on corps,,when school since Ebola is still in country.,All strange coming in the country should be issolated for twenty one days before interacting with other people.,All stranger coming in the community should be issolated.
2015-01-07,Bo,Baoma,,Baoma Old Town,1.0,prevent them for the virus.,,SMAC should provide hand washing bucket for them.,People now have confidence in the haelth workers.,No body is allow to keep sick person at home.
2015-01-08,Bo,Baoma,,Waiima,1.0,Because the corps was treated with respect,,The government should train their own members to conduct burial.,They now have confidence in the burial teams.,All bike must not enter the community after 7:pm.
2015-01-09,Bo,Baoma,,Gbandi,1.0,Because family memers were allowed to pray on corps,,Government should provide medicine for other sickness such as malarial typhoid.,The Gbandi community is now clean.,Coffeer order at 9;00pm daily.
2015-01-06,Bo,Baoma,,Kpumbu,1.0,According to the community member handle body properly.,,They community members are more concern about the burieal team they want their own team to take part in the process.,People now go to the health center.,Community house to house visit.
2015-01-07,Bo,Baoma,,Kortumahun,1.0,The community has no case of dead body since the Ebola out break.,,Education majority of the community members are worried when their children will return school.,Community members are now serving as watch dogs for each other in case of any intervention.,All travel must stop with immediate effect.
2015-01-08,Bo,Baoma,,Njaluahun,1.0,The community has no case of dead body since the Ebola out break.,,Agricultural product are pershing because farmers are not allowed to come to the big town to sell their product.,There is no related case in the community.,Now people are visiting the health centre.
2015-01-09,Bo,Baoma,,Manowa,1.0,They community were so pleased with conducting of the burieal process.,,Agricultural product are pershing because farmers are not allowed to come to the big town to sell their product.,There is no related case in the community.,Strangers are not allowed to entre in the community.
2015-01-06,Bo,Baoma,,Gerihun,1.0,They burieal team allowed prayers to be said on the corpes.,,The re opening of school.,People have accept Ebola as real disease.,All sick must be reported to the health centre.
2015-01-08,Bo,Baoma,,Gollu,1.0,The burial team now allowed us to say prayer.,,Ebola is reducing interm of new cases every day.,They are now taking most common problem in other to prevent their community from Ebola.,Corps/dead bodies should not be touched or wash by community members.
2015-01-07,Bo,Baoma,,Palima 2,0.0,,The dead is not treated with respect.,The government should please under all cost reopen school for their childern.,The community people adhered to the Ebola preventive laws.,"No harboueing of sick person at homes,and no touching or washing of the dead."
2015-01-09,Bo,Baoma,,Konia,1.0,The community people are now given the previlege to pay their last respect.,,The government should consider the reopening of school.,They are now happy with Ebola update result as it now reducing.,All sick must be reported to the health centre.
2015-01-07,Bo,Baoma,,Nolobogoma,1.0,It really help to pervent them.,,When will Ebola end in sierra Leone?,No sick person or dead since their last visit.,No washing of the dead.
2015-01-06,Bo,Baoma,,Kormende,1.0,They are now allowing them to give last respect.,,For school to open because their children are surfering greatly.,"Because they are obeying the byelaws, so they are Ebola free. ",Frequent hand washing and no body contact.
2015-01-09,Bo,Baoma,,Yambama,1.0,Because the government want to prevent them.,,They pray that Ebola will go out of our nation.,Sice our last visit  there have  been no Ebola case.,Refering the sick to the health center.
2015-01-06,Bo,Baoma,,Pelewahun Ngiebu,1.0,They the family member now taking part in the burial issue.,,The community people together with the government should fight and stop against Ebola.,The community is no longer allowing stranger.,No stranger is allowed to enter their commnitiy with pass/ID card.
2015-01-07,Bo,Baoma,,Taninahun,1.0,This will help prevent them from the  virus.,,This deadly disease will come to end.,Weekly cleanig in the community  and people visiting the health center.,Take all sick people to the health centers.
2015-01-08,Bo,Baoma,,Gbinima,1.0,Protect them from the virus.,,Ebola have change the their culture.,Community having soap and water for regular hand washing.,Avoid washing the dead bobies.
2015-01-06,Bo,Baoma,,Farbu,1.0,Because the burial team now burial with care and respect.,, The government should provide medication for Ebola.,Every one in the community is obeying the bye-laws.,No accormodation of stranger.
2015-01-07,Bo,Baoma,,Kortumahun,1.0,It will prevent them .,,Ebola have change the their culture.,The government should provide drugs for Ebola.,No public garthering allowed.
2015-01-09,Bo,Baoma,,Guallu,1.0,Because they want to stop the speard of the virus.,,The government should open schools now.,"Because they are obeying the byelaws, so they are Ebola free. ",No hand shaking.
2015-01-08,Bo,Baoma,,Gangama,,,,Government should provide medicine for other sickness such as malarial typhoid.,No Ebola case because they are obey the byelaws.,Avoid eating bush meat.
2015-01-14,Bo,Baoma,,Sandia,,,,The community is egger to known when Ebola will come to an end?,Implementation of  the bye laws.,No stranger is allow in their community
2015-01-13,Bo,Baoma,,Kpatobu,1.0,Because they want to be Ebola free,,When will school reopen ?,Enforcing the bye laws by the community.,Sterangers are not allow in their commumity .
2015-01-16,Bo,Baoma,,Tungebebu,,,,The government should provide drugs.,Self awaraness by members.,No washing of dead body.
2015-01-14,Bo,Baoma,,Semibu,,,,The government should provide drugs.,Self awaraness by members.,No community burial.
2015-01-13,Bo,Baoma,,Ngeyamie,1.0,The selected one family member to joined the burail team to under take the processs.,,The government should provide drugs.,Self awaraness by members.,No one should keep the sick at home.
2015-01-15,Bo,Baoma,,Ngualu,1.0,Because they were allow to say their prayers.,,The government should provide drugs.,Self awaraness by members.,Isolating the sick people.
2015-01-16,Bo,Baoma,,Maina ,1.0,The  burieal team team now asked for religious form part of the dead in order to offer prayers on the dead body.,,They want school to rre-opened now.,Self awaraness by members.,Sterangers are not allow in their commumity .
2015-01-13,Bo,Baoma,,Feiba,1.0,They are satisfied with them because they allowed them to follow them to the cemetery.,,No strangers are allowed in the community.,They believe that Ebola is real and it kill in high rate.,No body is allowed to keep sick person at home.
2015-01-13,Bo,Baoma,,Komende,1.0,For the disease not to spread.,,They want to go back to their normal business.,Sick person now report to the health centre.,NO new bye laws is formed.
2015-01-15,Bo,Baoma,,Hagbahun,1.0,It helps to eradicate Ebola,,They heard that Ebola will come to an end,They don't burieal dead people again instead they call 117.,NO new bye laws is formed.
2015-01-14,Bo,Baoma,,Matema,,,,They should joined hand to fight the killer disease.,They have started general cleaning.,NO new bye laws is formed.
2015-01-13,Bo,Baoma,,Yakaji,,,,The bye-laws is observed in the community to eradicate the Ebola virus.,They have started general cleaning.,Cleaning is one of the bye-laws that have been developed since our last visit.
2015-01-15,Bo,Baoma,,Komende,,,,Government must put all measure in place to speedily eradicate the virius.,They have started general cleaning.,NO new bye laws is formed.
2015-01-16,Bo,Baoma,,Hungay,1.0,Because it is safe and dignified since family are allowed to witness the burieal and prayers were offered.,,When will school reopen ?,They have started general cleaning.,NO new bye laws is formed.
2015-01-13,Bo,Baoma,,Nyagolihun,1.0,They people now pray by the dead body.,,When will school reopen ?,There has been no Ebola case since our last visit.,NO new bye laws is formed.
2015-01-16,Bo,Baoma,,Njaluahun(Bongema),1.0,They community people to put some materials with the dead to carried to the grave.,,When will school reopen ?,Community now report sick people to the health centre.,Sterangers are not allow in their commumity .
2015-01-15,Bo,Baoma,,Tongima,1.0,They community now include in the burieal process.,,When will school reopen ?,No sick person in the community.,NO new bye laws is formed.
2015-01-14,Bo,Baoma,,Kigbai,1.0,Community people now followed the burieal team to the grave.,,Government should help them with food as their food has destroyed during the period of quarentee.,Frequent hand washing.,NO new bye laws is formed.
2015-01-13,Bo,Baoma,,Sawulla,,,,Sick people are now goining to the health centre.,After 9;00 clock no bikes are allowed in the village.,NO new bye laws is formed.
2015-01-14,Bo,Baoma,,Niama,1.0,They are satisfied with the burieal team because the allowed their people to take part in the process,,Community Bye-laws have been in the process since last week.,They Bye -laws is working effectively.,NO new bye laws is formed.
2015-01-15,Bo,Baoma,,Kenemalo,1.0,They were happy with the burieal team for sop method.,,When will school reopen ?,They Bye -laws is working effectively.,NO new bye laws is formed.
2015-01-16,Bo,Baoma,,Kanjalu,,,,When will Ebola come to an end.,They community have special people for monitoring the community.,NO new bye laws is formed.
2015-01-16,Bo,Baoma,,Falah,,,,When will school reopen ?,Community cleaning is on going.,NO new bye laws is formed.
2015-01-14,Bo,Baoma,,Vaahun,1.0,We are satisfied with them because the offer prayers before the finally burieal the dead.,,"Improvernment on Agriculture,Sanitation are their most concern.",They want handwshing bucket in the community.,"Hand washing ,strangers are not allowed in the community"
2015-01-15,Bo,Baoma,,Mosaima,1.0,Government to involved the community people to be part of the burieal team.,,"Improvernment on Agriculture,Sanitation are their most concern.",No sick person in the community.,Sterangers are not allow in their commumity .
2015-01-13,Bo,Baoma,,Ndama,1.0,The burial process  according to them will help to pretect them.,,Community members are concerns about the ceremomies after the burial process.,"Presently ,there is no Ebola related case in this community.",Report all sick the to the nearst health post.
